income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_term,dti_ratio,default
128211,22389,530,12,6,14.11,24,0.65,0
90313,48838,362,183,19,13.3,48,0.3,0
147813,1822,784,110,16,19.61,60,0.09,0
73006,18327,782,289,2,7.71,12,0.47,0
115285,48057,818,294,4,8.95,60,0.49,0
35338,7150,454,214,18,8.61,24,0.75,0
88027,5425,391,119,11,10.25,24,0.59,0
112772,17032,825,54,6,15.51,48,0.74,0
133632,3198,754,26,8,7.22,36,0.73,0
100135,21079,809,117,5,22.36,48,0.5,0
39508,37220,482,220,16,10.95,60,0.45,0
140379,42874,685,230,15,8.25,12,0.47,0
23051,14859,704,52,2,18.51,48,0.78,1
68747,32419,545,294,3,5.76,36,0.63,0
134692,9705,770,320,9,17.4,48,0.13,0
107142,43880,722,232,4,18.96,24,0.63,0
107235,24236,364,157,9,9.3,60,0.18,0
74021,23419,312,268,11,5.84,60,0.39,0
86412,20978,512,20,9,12.27,60,0.21,0
78335,38609,541,52,12,6.97,60,0.57,0
76179,16358,792,274,10,7.33,60,0.71,0
52093,35177,512,312,15,10.09,60,0.27,0
89678,30378,637,280,7,10.91,12,0.11,0
100738,38334,472,213,7,15.6,36,0.27,0
59734,12382,463,30,7,18.57,60,0.55,0
92615,15596,764,336,12,16.86,36,0.3,0
93523,34572,796,182,1,7.97,60,0.26,0
125103,14221,694,22,11,8.44,48,0.19,0
114476,2279,607,31,9,22.58,60,0.42,0
122769,46960,482,73,11,16.17,24,0.26,0
37019,8083,809,9,10,22.4,12,0.6,0
131721,44861,845,53,14,12.43,48,0.11,0
103613,18771,526,51,15,17.29,48,0.55,0
111794,30975,735,147,16,15.47,24,0.23,0
106672,46648,721,159,1,11.38,60,0.42,0
93847,49285,320,13,17,14.4,12,0.26,0
102750,20063,696,177,11,15.05,48,0.59,0
99634,3106,404,52,18,9.02,12,0.76,0
48251,25557,491,334,17,11.3,48,0.74,0
123481,49854,316,21,16,20.83,60,0.49,0
132566,21607,419,29,5,23.32,48,0.4,1
45945,38599,692,190,14,12.2,48,0.66,0
110852,29529,724,259,2,11.14,36,0.56,0
52217,36954,428,204,5,8.9,60,0.19,0
28308,28856,429,58,2,18.57,24,0.67,0
25949,3573,328,263,0,11.46,24,0.37,0
71990,13808,396,11,12,24.75,60,0.19,1
21150,36367,309,118,13,11.51,24,0.26,1
109480,37801,541,289,12,12.88,60,0.25,0
120235,42196,531,337,3,17.07,24,0.44,0
94740,35072,583,247,6,21.03,36,0.23,0
136352,24752,499,353,9,14.39,24,0.14,0
86617,18685,378,126,6,13.45,48,0.14,0
114841,42401,472,74,14,24.91,60,0.49,0
36896,12372,766,203,14,5.21,12,0.6,0
145729,9996,715,48,3,22.9,12,0.29,0
66175,17458,748,78,5,7.98,60,0.08,0
27805,32889,386,240,19,20.72,36,0.15,1
25237,27665,400,348,4,17.36,24,0.74,1
135247,39243,307,153,19,11.84,36,0.42,0
40056,32653,499,273,11,22.48,12,0.39,0
65543,27657,804,95,0,5.26,60,0.08,0
76556,40952,386,213,7,9.53,60,0.6,0
134548,23180,342,293,0,16.34,36,0.45,0
131488,32896,684,208,4,12.03,36,0.2,0
23343,13875,734,342,5,17.21,24,0.13,0
33500,2622,707,87,2,5.48,48,0.34,0
73222,49756,782,305,14,7.33,48,0.68,0
49375,41809,316,263,4,7.54,24,0.7,0
29662,17725,447,324,13,8.79,48,0.5,0
36964,41760,576,319,17,14.19,12,0.6,0
133429,16646,531,156,15,20.04,48,0.14,0
141692,18029,665,155,5,23.11,24,0.49,0
79638,30402,527,138,13,21.71,48,0.55,0
93666,5263,735,120,7,8.94,60,0.2,0
105067,31987,698,64,6,13.82,36,0.71,0
138937,47828,510,106,7,8.99,12,0.2,0
87215,48924,690,146,12,10.29,60,0.29,0
89042,9646,798,136,5,15.07,60,0.52,0
33284,28529,839,161,17,6.36,24,0.53,0
92789,12664,790,99,1,9.36,36,0.57,0
104664,36737,741,337,7,23.71,36,0.13,0
113468,36796,560,306,10,14.32,12,0.69,0
81389,25027,649,140,0,13.91,24,0.45,0
29435,30373,651,82,5,5.29,12,0.4,1
74340,37397,819,176,15,9.95,48,0.79,0
64078,21609,619,197,19,22.33,60,0.61,0
98832,36835,437,111,11,8.29,12,0.14,0
71293,39709,849,55,10,13.3,60,0.62,0
115981,20250,667,178,9,5.29,24,0.12,0
98781,22172,519,185,2,14.57,48,0.07,0
80403,12555,636,217,12,5.42,24,0.35,0
49124,22874,522,315,2,21.39,48,0.8,1
115435,14081,659,216,14,21.5,48,0.18,0
63919,25063,628,119,15,20.75,60,0.55,0
128761,7819,762,174,12,10.67,24,0.18,0
141305,26712,681,22,16,21.74,24,0.59,1
55247,25762,468,212,2,15.86,12,0.43,0
141172,12046,516,234,19,12.48,24,0.56,0
114758,32463,677,12,10,17.51,12,0.2,0
111747,29769,418,100,18,5.25,36,0.61,0
82752,24150,489,23,10,7.86,36,0.8,1
76573,3711,669,10,15,19.85,36,0.55,0
79101,5853,448,272,2,9.88,24,0.42,0
122756,30077,787,280,5,16.96,24,0.74,0
46646,24863,673,93,13,12.7,12,0.06,0
124185,22792,459,200,17,22.1,48,0.6,0
43049,41483,650,20,16,24.05,12,0.72,1
99605,9942,587,339,3,22.67,36,0.1,0
118116,49275,587,210,14,10.41,12,0.39,0
117379,49594,525,139,10,8.88,48,0.2,0
88385,2762,822,292,2,14.49,24,0.47,0
146131,32987,821,297,2,5.15,12,0.54,0
60158,16850,572,100,15,5.52,36,0.28,0
85417,13112,701,303,4,16.07,36,0.39,0
43289,25058,482,358,9,15.41,24,0.26,0
130226,46420,787,27,18,24.89,12,0.33,0
120793,39890,423,40,3,9.04,48,0.17,0
29823,1481,713,354,18,10.16,24,0.71,0
80160,48304,471,302,10,7.27,12,0.06,0
61975,33921,587,145,1,23.35,60,0.71,1
29540,41385,734,255,9,20.56,36,0.48,0
36364,2524,412,226,10,21.45,48,0.3,0
24611,35888,421,235,19,23.06,48,0.59,1
47663,16048,843,12,15,15.5,48,0.43,0
71991,36111,521,209,18,14.02,36,0.42,0
77679,38904,338,228,10,11.61,12,0.13,0
124182,35008,796,99,13,16.78,24,0.34,0
50977,1060,532,30,1,14.09,12,0.23,0
114704,10130,829,15,4,14.03,24,0.06,0
69115,19023,448,136,4,23.74,48,0.32,1
111007,46080,696,328,18,24.68,12,0.12,0
108223,14350,601,165,11,20.93,48,0.24,0
80890,25354,659,309,17,20.14,60,0.12,0
86387,46186,537,99,3,18.61,48,0.13,0
38071,29145,535,108,16,8.32,48,0.2,0
79275,35020,502,342,9,6.18,24,0.8,0
92369,21587,555,172,19,18.81,60,0.05,0
31938,42131,534,236,5,19.58,48,0.53,1
55195,10650,644,161,13,5.94,48,0.16,0
111680,20933,833,215,10,23.56,60,0.74,0
24000,21581,765,263,10,6.82,60,0.12,0
90588,24393,840,262,17,10.72,12,0.77,0
121042,24051,512,291,17,18.45,24,0.51,0
113610,27212,762,273,10,8.4,60,0.05,0
140420,5090,735,2,11,6.11,60,0.72,0
123691,7960,582,27,4,11.62,36,0.44,0
126306,36772,762,325,8,20.32,60,0.25,0
117856,22520,706,148,8,13.27,24,0.63,0
58304,37408,387,27,9,18.06,48,0.74,1
131783,29470,343,309,18,16.59,48,0.41,0
89449,21491,760,64,0,5.44,48,0.29,0
102986,2341,577,355,6,24.77,48,0.64,0
109643,45623,720,20,3,5.83,36,0.56,0
40764,25791,652,251,0,24.36,60,0.72,1
128940,1338,814,234,14,16.0,48,0.57,0
106027,6895,318,226,7,24.26,12,0.23,0
58494,13254,322,12,11,7.3,48,0.75,0
23373,12344,712,312,17,14.81,60,0.13,0
32161,2750,329,48,14,8.39,48,0.25,0
117532,3421,407,117,16,6.02,36,0.44,0
112658,40887,666,53,13,17.35,24,0.47,0
143633,6319,580,137,13,9.16,24,0.06,0
120386,16896,427,52,17,16.75,60,0.64,0
47350,12918,528,43,19,7.25,24,0.32,0
113008,26064,410,302,17,11.64,24,0.35,0
114297,47617,435,52,15,20.63,12,0.66,0
45351,28935,661,73,0,13.74,60,0.33,0
108668,38641,485,45,10,17.55,60,0.09,1
134585,30711,428,12,14,17.95,24,0.18,0
35305,5806,560,164,11,21.88,24,0.77,0
95353,42360,814,101,7,11.5,24,0.1,0
96797,13182,748,279,19,18.75,36,0.32,0
85953,23297,403,257,5,24.23,48,0.43,1
77458,20541,782,336,2,19.6,36,0.42,0
127112,29921,523,355,12,14.8,60,0.05,0
40358,17774,790,137,12,17.61,12,0.43,0
23267,45813,772,162,1,19.79,48,0.34,1
102745,38198,309,110,4,17.25,12,0.78,0
109588,9820,704,101,16,5.33,60,0.17,0
58513,25070,601,16,5,8.9,60,0.32,0
46092,5232,530,267,1,21.21,12,0.36,0
31338,12122,365,181,3,10.45,12,0.34,0
20412,16023,411,23,10,19.63,12,0.55,1
27543,9007,312,28,7,12.44,60,0.21,0
125891,18905,692,170,11,15.44,24,0.22,0
53496,42786,799,227,7,6.36,12,0.6,0
80692,30398,533,187,10,8.62,48,0.43,0
109084,35268,613,345,19,24.14,60,0.36,0
112920,7737,311,229,7,22.8,36,0.18,0
143555,37062,508,320,7,18.05,36,0.19,0
64425,26510,313,339,16,14.19,48,0.06,0
58756,20426,717,118,19,18.52,24,0.12,0
38888,38265,736,155,19,17.37,12,0.47,1
55735,18850,676,271,15,16.37,60,0.72,0
67295,1614,319,174,13,6.18,12,0.27,0
137474,22776,369,103,10,17.66,60,0.3,0
134352,25077,510,91,6,20.38,36,0.14,0
103042,10374,400,185,15,24.88,12,0.34,0
105999,36435,431,282,12,5.22,48,0.08,0
37955,31907,680,180,14,19.6,24,0.74,0
57841,14409,431,169,15,16.44,48,0.55,0
90640,17514,319,186,8,13.68,24,0.79,0
85510,30866,835,174,2,7.55,12,0.71,0
54911,3983,526,221,18,13.18,12,0.4,0
79031,32705,453,232,19,12.09,24,0.44,0
108726,21662,768,161,4,11.06,36,0.19,0
27357,24510,704,133,9,19.62,60,0.4,0
52479,13651,501,223,16,19.01,48,0.73,0
81476,41998,337,152,14,16.78,48,0.09,1
64811,29535,487,32,7,23.77,48,0.7,1
56208,7640,356,54,14,12.0,12,0.31,0
40150,45547,319,6,13,9.88,48,0.72,1
91180,16317,572,243,19,18.12,60,0.76,0
63286,8564,418,312,6,8.98,60,0.55,0
132856,28345,815,125,11,11.3,24,0.55,0
88450,49288,520,11,16,9.49,12,0.39,0
41352,29687,825,15,16,6.38,60,0.68,0
75069,14737,814,207,9,21.55,36,0.77,0
131888,10323,635,42,18,10.09,12,0.63,0
130448,16229,354,134,13,14.46,12,0.52,0
34397,45481,799,227,10,5.87,60,0.51,0
61555,9502,835,110,1,18.99,36,0.69,0
66959,1545,461,306,17,11.61,24,0.46,0
20728,38114,458,159,6,19.89,60,0.65,1
70517,30430,487,330,11,13.25,36,0.43,0
139180,10996,359,263,1,8.92,12,0.1,0
86234,28788,618,224,19,15.26,36,0.34,0
59954,30969,510,216,17,7.61,12,0.38,0
67280,49543,705,44,5,13.81,60,0.16,0
99459,14919,408,213,9,11.35,60,0.13,0
36779,4810,375,58,19,23.24,48,0.45,0
83932,31586,841,131,14,6.22,48,0.11,0
92936,40974,613,103,4,18.88,48,0.28,0
44466,42773,416,194,19,8.66,60,0.61,0
56939,17371,318,156,2,11.38,24,0.77,0
89896,46084,731,97,4,13.31,60,0.59,0
55270,30629,649,225,7,23.16,36,0.79,0
79163,9436,482,204,7,9.85,60,0.57,0
102637,13984,412,78,7,6.83,60,0.27,0
71934,34039,482,123,11,11.37,12,0.55,0
84895,20895,780,217,7,7.09,12,0.58,0
52307,19155,445,3,10,7.57,12,0.33,0
74098,11616,412,89,13,16.48,60,0.06,0
80921,38129,775,103,7,6.22,24,0.58,0
25486,40837,602,118,9,5.62,36,0.07,0
28335,25574,417,132,6,19.29,36,0.52,1
106900,4430,460,311,16,12.23,24,0.17,0
146020,13676,700,95,3,7.51,24,0.47,0
141954,11816,497,330,12,10.07,36,0.43,0
122795,33733,559,142,3,17.84,48,0.06,0
109112,21144,346,287,4,10.51,12,0.32,0
117203,3050,698,27,3,14.89,12,0.5,0
31130,45460,377,277,17,7.43,36,0.69,0
107508,34933,423,232,5,16.76,24,0.72,0
125955,25951,374,16,1,11.32,48,0.41,0
138324,33413,436,58,10,17.54,36,0.6,0
80566,35801,699,89,13,21.17,12,0.29,0
86703,33913,804,198,4,17.23,60,0.31,0
47192,48037,799,25,5,10.91,24,0.2,0
21062,41600,437,24,9,10.11,60,0.47,1
104076,26280,349,300,7,11.55,36,0.29,0
109780,25557,553,338,13,8.29,12,0.11,0
41545,48054,725,266,2,8.62,48,0.56,0
41689,36400,846,180,11,20.81,60,0.58,0
31174,5494,601,359,15,12.69,48,0.32,0
108461,16152,648,67,16,13.72,12,0.11,0
146174,24895,348,350,0,16.88,60,0.37,0
123033,10155,373,320,9,16.79,48,0.38,0
29348,32883,560,48,9,6.35,48,0.55,1
43714,44194,655,174,1,21.63,60,0.29,0
58102,44001,559,51,8,8.55,12,0.56,0
94460,2828,594,101,12,19.46,48,0.7,0
122634,46028,612,215,15,20.45,36,0.23,0
109930,42898,481,187,17,19.3,60,0.78,1
26801,33123,663,56,18,16.58,24,0.34,1
123150,38573,487,46,11,5.29,24,0.25,0
92267,1806,842,158,7,12.21,12,0.37,0
68136,41970,847,173,16,17.1,36,0.12,0
43625,30757,707,241,14,12.75,48,0.14,0
102873,35636,713,281,9,22.27,24,0.36,0
120843,15561,641,240,14,11.18,12,0.62,0
92592,49280,519,4,14,10.87,36,0.73,0
97052,25262,462,83,6,10.32,36,0.55,0
64261,15899,519,307,12,11.66,12,0.13,0
21542,49988,569,247,16,16.15,12,0.55,1
41677,16934,699,53,8,19.14,48,0.53,0
66732,39197,481,160,7,18.25,12,0.65,0
70343,42844,504,225,19,21.15,48,0.67,0
59081,37332,527,14,17,22.72,48,0.7,1
82856,35157,549,223,12,21.32,60,0.36,0
113105,12593,740,60,15,5.38,36,0.57,0
108858,41042,832,121,8,19.72,36,0.25,0
39065,18320,495,276,11,9.17,36,0.8,0
144097,28376,818,45,11,7.66,60,0.18,0
103460,44513,369,293,5,17.77,48,0.06,0
108092,15199,698,61,18,11.39,48,0.16,0
146116,16876,502,85,6,6.14,12,0.63,0
74693,9245,447,209,2,7.75,60,0.39,0
46962,8214,771,77,15,5.02,12,0.39,0
48295,1726,498,201,17,23.06,60,0.77,0
33807,47600,725,301,15,5.49,12,0.74,0
62348,12362,791,222,6,9.19,24,0.28,0
46432,19297,441,221,3,13.33,36,0.21,0
103285,31448,612,2,7,12.13,36,0.69,1
126995,27172,464,5,12,23.23,48,0.73,1
111792,43874,613,92,12,5.81,24,0.46,0
77854,8657,320,7,16,15.24,36,0.52,0
60262,19850,381,234,16,18.61,48,0.24,0
57080,26425,430,107,4,23.63,24,0.65,0
21324,27685,604,160,5,17.41,36,0.52,1
111267,48319,670,208,18,21.08,12,0.43,0
144707,25578,683,239,12,6.67,60,0.1,0
55909,29831,744,330,13,12.72,24,0.74,0
109339,8906,724,332,3,12.48,48,0.51,0
39870,8287,460,49,6,22.73,24,0.19,0
54578,34660,477,10,7,8.03,48,0.5,1
92124,11222,789,350,12,8.04,24,0.56,0
137611,38443,626,155,5,11.57,48,0.44,0
123605,35701,588,69,5,6.09,36,0.59,0
46790,18764,653,168,2,8.65,12,0.49,0
138874,45641,327,271,2,24.3,36,0.76,0
45289,18674,342,67,12,13.56,12,0.09,0
75129,19024,722,354,1,17.64,36,0.13,0
113714,47007,476,251,15,19.52,36,0.18,0
114246,24874,828,47,5,12.34,24,0.57,0
35485,44642,793,183,7,7.94,60,0.53,0
64482,33284,497,319,7,9.13,48,0.72,0
106188,18602,816,186,5,11.27,48,0.6,0
24748,38784,813,89,13,17.72,48,0.43,0
106769,24265,321,331,2,12.97,12,0.79,0
29435,26931,411,138,9,5.14,48,0.25,0
23709,29841,356,356,2,15.47,48,0.67,0
143961,30192,365,88,11,23.43,24,0.37,1
50355,47542,397,273,16,21.24,36,0.54,0
75771,43520,443,18,4,21.5,48,0.6,1
77799,16585,734,310,19,20.9,60,0.53,0
33116,26559,385,357,8,11.47,48,0.16,0
45470,41059,643,153,19,20.3,12,0.38,0
62344,34742,593,259,6,7.86,12,0.47,0
62918,5133,542,107,3,18.15,12,0.69,0
72224,15663,331,284,12,17.83,48,0.38,0
59298,22754,690,58,12,5.51,24,0.74,0
128492,4972,576,124,9,20.76,60,0.38,0
100219,6295,831,353,17,23.06,48,0.46,0
81629,47681,453,272,16,10.35,24,0.65,0
86040,42873,682,106,19,21.25,24,0.49,0
119518,30125,367,298,19,6.65,48,0.77,0
119835,41996,513,244,12,17.0,48,0.55,0
48016,10903,675,335,16,14.71,24,0.44,0
43960,4020,512,246,3,15.92,24,0.07,0
53591,42755,378,7,0,23.52,24,0.36,1
102848,21420,680,140,0,22.43,48,0.27,0
123333,22452,357,7,14,20.7,24,0.61,1
131732,46648,325,351,12,10.47,12,0.21,0
134821,39001,746,93,16,23.24,48,0.2,0
87641,10516,365,320,7,6.95,12,0.19,0
56395,48327,553,38,17,22.07,36,0.14,1
131276,3396,343,80,12,11.56,48,0.28,0
149695,19546,396,186,13,6.08,36,0.71,0
42700,20129,526,83,7,18.39,24,0.63,1
54620,2591,735,87,7,9.63,24,0.6,0
123214,12303,678,241,14,9.87,60,0.65,0
148148,31561,477,341,12,11.12,24,0.25,0
40559,7183,726,92,6,6.27,36,0.72,0
113045,27572,606,85,4,8.54,24,0.15,0
113396,35080,803,43,16,5.1,48,0.3,0
81642,21695,567,136,15,13.91,24,0.49,0
96539,8314,307,73,1,6.69,60,0.13,0
41732,20623,807,35,17,18.65,24,0.6,1
148675,3139,775,100,16,9.71,36,0.34,0
111362,48456,596,155,6,23.87,36,0.64,0
50354,32290,463,254,12,22.43,24,0.42,1
33843,19088,784,170,17,10.79,36,0.19,0
130008,40692,371,215,13,20.66,36,0.6,0
134065,34130,537,169,17,21.06,60,0.24,0
91726,33088,403,251,12,24.73,48,0.42,0
37640,27292,509,359,10,16.96,60,0.11,0
72528,47249,767,321,15,6.64,12,0.51,0
58413,21670,753,54,16,17.94,60,0.55,0
148142,4738,567,90,7,17.5,24,0.33,0
72638,3469,685,277,18,17.77,48,0.77,0
72736,23534,686,100,19,11.14,24,0.71,0
127892,49874,558,154,14,22.19,12,0.58,0
130133,10017,582,348,8,24.19,48,0.59,0
126357,3808,339,140,19,9.35,36,0.24,0
88866,48638,785,172,9,6.76,60,0.54,0
39087,13713,519,9,11,8.89,24,0.2,0
61430,41329,428,227,19,21.41,12,0.16,0
44504,3719,819,264,0,18.53,36,0.8,0
27114,23890,559,247,19,17.72,60,0.52,0
98859,12700,665,246,8,13.04,36,0.37,0
119657,37509,843,154,14,16.56,60,0.27,0
30975,43534,823,33,0,11.16,48,0.5,0
31023,37766,315,128,11,14.54,36,0.09,0
41447,27705,428,159,2,20.86,36,0.12,0
110469,19787,408,88,10,24.62,36,0.07,0
145899,49845,832,92,1,23.65,48,0.42,0
43959,27588,568,326,15,23.68,12,0.5,0
86203,27123,461,240,8,13.04,60,0.1,0
139156,34062,559,322,14,14.38,36,0.59,0
49703,11177,401,116,11,19.11,48,0.22,0
29337,22727,805,93,0,23.44,12,0.56,0
66427,31220,546,162,12,7.84,60,0.79,0
141507,10882,836,98,13,11.08,48,0.57,0
81529,2136,430,112,7,7.78,60,0.71,0
122023,35832,652,358,7,17.24,36,0.76,0
104665,32966,495,90,11,11.13,12,0.42,0
125787,8009,681,345,0,11.52,48,0.58,0
51921,13987,526,205,10,6.42,12,0.69,0
53307,38311,775,16,7,12.0,36,0.32,1
47355,32575,776,273,9,22.25,12,0.25,0
123268,2007,564,172,18,9.66,12,0.76,0
147016,6445,671,115,10,18.9,24,0.59,0
24835,11706,785,348,6,17.59,12,0.21,0
40159,48517,733,180,10,22.27,60,0.39,1
124346,45486,510,90,16,7.65,48,0.65,0
67605,30257,676,81,0,24.55,24,0.46,0
141790,22736,694,323,7,16.65,48,0.54,0
125616,43207,749,113,5,24.91,48,0.62,0
58088,14281,663,256,17,23.23,36,0.52,0
